m/z,z,I,Res.
55.02456,,1348412,1073865
55.02544,,1139007,1066863
55.03777,,1152478,1072193
55.03981,,1182424,1155183
55.0409,,1235348,1056829
55.04234,,1223304,1255513
55.044,,1239025,1310431
55.0468,,1173930,1289755
55.04923,,1320594,1297477
55.06862,,1235798,1203351
55.07515,,1310682,1398556
55.07908,,1415413,1026298
55.08469,,1330413,1024874
55.0891,,1265042,1006265
55.09033,,1154814,1244851
55.09369,,1386089,1049810
55.09514,,1149836,1316597
55.09931,,1198477,1013318
55.11932,,1155921,1081200
55.12407,,1161827,1196077
55.12535,,1139262,809622
55.12727,,1305184,1493314
55.13008,,1220622,1342870
55.1353,,1217775,1104944
55.1425,,1218578,1146735
55.14639,,1173448,1212844
55.14689,,1426751,957184
55.14713,,1189031,1454201
55.14769,,1149025,1127600
55.15411,,1142746,1476375
55.15654,,1195038,1420403
55.15731,,1144389,1273321
55.16214,,1156388,1033924
55.16318,,1421722,1000736
55.17,,1164414,1471821
55.17391,,1238015,976766
55.1837,,1323634,1221418
55.18647,,1267780,1245443
55.20214,,1275316,1268775
55.2111,,1471114,1186584
55.21564,,1185380,1289225
55.22209,,1148367,1206224
55.2257,,1131412,1356489
55.22982,,1361772,1110188
55.22993,,1195371,884513
55.2329,,1174911,1232302
55.23331,,1433877,1208450
55.23394,,1148222,1364161
55.23484,,1345052,1037238
55.23803,,1182124,1566148
55.24057,,1421852,1066952
55.24628,,1167594,641215
55.24768,,1213312,1098183
55.24854,,1503994,911759
55.25306,,1566865,988998
55.25782,,1241548,902796
55.25955,,1444930,978197
55.27123,,1137984,1499928
55.2763,,1161454,1050234
55.27888,,1192338,1157129
55.28103,,1260675,1037170
55.28389,,1333508,1155518
55.28773,,1243909,1024468
55.29034,,1143206,783181
55.29414,,1199690,1450274
55.29751,,1232204,1403056
55.30445,,1398692,1065156
55.30605,,1141202,1111879
55.30942,,1259045,1172397
55.31663,,1284020,1153609
55.31997,,1296792,1222091
55.32503,,1175500,1062505
55.3284,,1227457,1128233
55.32887,,1181688,1412028
55.33366,,1376927,742581
55.33423,,1226307,630104
55.33672,,1132971,934355
55.33966,,1240221,1366388
55.34802,,1265806,960051
55.3492,,1159057,1452423
55.35472,,1451631,928729
55.3568,,1134841,1142337
55.35894,,1304897,1301728
55.36114,,1151175,1390677
55.36195,,1148657,1354168
55.37157,,1221380,857251
55.3719,,1232274,1224165
55.37723,,1336636,1047053
55.38691,,1167407,1088703
55.38825,,1268692,996859
55.39325,,1202412,1211512
55.39589,,1160389,935174
55.3971,,1198328,1021125
55.40487,,1215151,1051894
55.40562,,1156889,1134569
55.40899,,1135911,1523626
55.41562,,1137407,1246841
55.42223,,1228287,1131043
55.42371,,1171602,1059331
55.42695,,1131401,1216913
55.42707,,1231010,1158685
55.4291,,1179657,1174641
55.42958,,1192591,992888
55.43063,,1226246,1287545
55.43537,,1338782,948259
55.43695,,1143800,965794
55.43815,,1131448,1469342
55.43979,,1140059,858154
55.442,,1181977,625613
55.44205,,1157659,849929
55.44223,,1170406,1033494
55.44419,,1494767,611825
55.44479,,1168853,1303741
55.44727,,1156813,792259
55.45439,,1259087,1122588
55.45695,,1144528,1251017
55.46419,,1207837,1173818
55.4714,,1446742,1178325
55.47155,,1314017,1033632
55.47216,,1343785,1357823
55.47519,,1232529,1135178
55.47612,,1179669,1449831
55.47632,,1248967,1402682
55.47699,,1151150,939326
55.47911,,1233996,1183848
55.48582,,1207308,1498321
55.48982,,1386880,677018
55.4904,,1251269,763440
55.49238,,1679780,973450
55.49317,,1142906,677033
55.49728,,1365648,1061404
55.49977,,1135817,1599384
55.50384,,1233169,666103
55.50813,,1212497,1728091
55.50953,,1461535,914792
55.51438,,1181961,1093678
55.51909,,1164658,1179246
55.52097,,1290690,1318103
55.52402,,1370257,1056930
55.52527,,1183889,949520
55.52909,,1252457,876079
55.53828,,1335174,1379904
55.53867,,1423815,574275
55.54168,,1447646,1219159
55.54333,,1133895,1251527
55.54353,,1332952,1238733
55.54655,,1180767,1032632
55.5517,,1353837,957177
55.55266,,1461131,1084909
55.55352,,1172710,860408
55.55482,,1134930,1506842
55.56798,,1352949,1088122
55.5782,,1416617,925140
55.58176,,1192061,1083618
55.58393,,1301891,1035564
55.58467,,1241884,1493499
55.59348,,1243977,1085424
55.60048,,1205171,1050846
55.60108,,1247069,733458
55.6031,,1273983,1458149
55.60578,,1168857,1302310
55.61213,,1150117,872958
55.61277,,1212318,1068585
55.61315,,1215241,1123937
55.61766,,1212023,954515
55.61991,,1140659,1266286
55.62281,,1253580,1614127
55.6257,,1138985,1270207
55.62772,,1146877,1233869
55.63429,,1175778,1390140
55.63485,,1246501,1129404
55.63518,,1312414,1133233
55.63569,,1214777,1290728
55.64412,,1456819,1107274
55.6547,,1181221,1144967
55.65632,,1220190,885501
55.65975,,1237924,1086216
55.66066,,1252224,1269100
55.66497,,1172473,1129894
55.66636,,1383183,836283
55.66834,,1206942,1655565
55.66859,,1518834,1004764
55.66955,,1149886,803927
