m/z,z,I,Res.
53.87151,,445247,1711080
53.87228,,423483,1264971
53.873,,537643,1113528
53.87312,,447852,1410748
53.87349,,587267,791545
53.87371,,471167,1447172
53.87415,,427458,1356272
53.87488,,567529,1225275
53.87579,,504403,1434984
53.87605,,498942,1040669
53.87658,,792303,679193
53.87672,,423070,1832970
53.87738,,531938,529520
53.8776,,580740,571655
53.87775,,602681,851708
53.87795,,777806,655262
53.87848,,583759,544438
53.87873,,437877,2045359
53.8791,,530683,806045
53.87933,,510962,1097766
53.8801,,443173,1793059
53.88105,,533135,916485
53.88143,,461512,1553218
53.88183,,717515,679599
53.88225,,512687,1078317
53.88255,,512913,1003616
53.88271,,679434,759833
53.88291,,456525,1237385
53.88306,,418513,1941739
53.88332,,656050,800664
53.88352,,540412,704496
53.88397,,494989,1110342
53.8841,,485452,1044180
53.88423,,462806,903586
53.88437,,638233,686980
53.88495,,514741,1044653
53.88563,,519116,774253
53.88576,,508285,1453805
53.886,,540137,929120
53.88835,,422508,1536413
53.88845,,575434,750885
53.88924,,597718,720549
53.88969,,545671,1345662
53.89007,,586872,538085
53.89018,,442659,761827
53.89046,,393752,2405317
53.89055,,498182,1008614
53.89065,,443847,1520700
53.89128,,932038,624245
53.89239,,411864,2807282
53.89257,,464076,1503838
53.89277,,613234,849882
53.89322,,448963,1333700
53.89371,,647033,850994
53.89386,,574915,1039386
53.89428,,434203,1218600
53.89457,,619946,489443
53.89508,,517954,1352014
53.8953,,505681,1233682
53.8959,,528542,952058
53.89651,,468706,1300280
53.89705,,528564,623533
53.89712,,502870,745825
53.89741,,521552,1025078
53.89775,,516109,1083087
53.89797,,608943,793139
53.89835,,577256,1058469
53.89889,,681036,738189
53.89934,,464691,1446256
53.89956,,567559,771526
53.89965,,654731,530258
53.89979,,435064,1729130
53.90011,,406080,2323066
53.90054,,473563,803679
53.90094,,481173,808124
53.90106,,512684,938236
53.90136,,405664,2955478
53.90156,,615498,772089
53.90197,,626069,869655
53.9023,,558455,879035
53.90268,,665892,657981
53.90284,,628095,705620
53.90293,,786478,480711
53.90427,,528821,1197312
53.90456,,453794,1653865
53.90521,,511074,927861
53.90543,,656712,751875
53.90588,,616204,998340
53.90622,,619601,1006053
53.90668,,702493,644890
53.90731,,408134,2326992
53.90775,,457298,872399
53.90808,,414549,2970215
53.90837,,598743,792866
53.90863,,564252,802342
53.90897,,412939,1453128
53.90935,,458281,1543474
53.90969,,585221,919795
53.91107,,825460,573722
53.91155,,531799,742156
53.91202,,710946,776628
53.91238,,679408,562575
53.9127,,540166,935974
53.91328,,522289,1348272
53.91412,,471325,1256027
53.91427,,437785,1732458
53.91455,,540556,986049
53.91522,,416047,1364072
53.91536,,418395,2032833
53.91568,,504662,1003629
53.91605,,678108,1014411
53.91645,,518882,1072865
53.91685,,625454,722475
53.91707,,613379,674052
53.91715,,685266,620922
53.91768,,539041,843152
53.91782,,705709,764918
53.91806,,450804,806023
53.91843,,725551,865060
53.91893,,465387,1391231
53.91914,,642322,545572
53.91934,,461646,1742452
53.91949,,442539,2243052
53.91975,,601328,899169
53.91995,,504713,1282377
53.92026,,422101,2631755
53.92055,,510091,832896
53.9209,,596143,910385
53.92162,,649748,681200
53.92267,,588185,1049959
53.92325,,737100,743643
53.92351,,672253,910961
53.92374,,880453,534203
53.92408,,576014,706681
53.92428,,674922,450535
53.92523,,546257,810889
53.92552,,767764,654371
53.92581,,499359,1073791
53.92608,,655733,685870
53.92692,,721195,588554
53.92722,,849943,375354
53.92871,,502649,1321822
53.9293,,514483,1271471
53.92951,,522650,1085785
53.9302,,558730,733739
53.93031,,783194,582806
53.93047,,674933,971584
53.93093,,743043,525803
53.93131,,439868,1590779
53.93162,,670507,747735
53.9321,,464004,1440666
53.93224,,505537,1238755
53.93239,,424767,2132540
53.93291,,615425,662369
53.93309,,564220,797665
53.93328,,498248,1176175
53.93346,,456084,949977
53.93364,,524570,1219429
53.9344,,462208,1610887
53.93508,,514970,1001134
53.93524,,541846,830534
53.93557,,645245,449738
53.93608,,449013,1406735
53.93621,,513327,1032375
53.93658,,449044,1249263
53.93695,,445415,1099936
53.93707,,540086,702161
53.93812,,579033,480507
53.93843,,502741,1303138
53.93856,,527373,778657
53.94081,,622774,659408
53.94111,,538427,581473
53.94129,,602903,428461
53.94167,,427132,2147047
53.94196,,600987,886726
53.94231,,478783,566864
53.94239,,469983,889796
53.94261,,518366,1182277
53.94285,,455376,1114803
53.94296,,645598,711128
53.94334,,423851,1471232
53.94346,,469429,1173105
53.94369,,596150,895616
53.94417,,593323,935851
53.94461,,769295,574029
53.9448,,546232,718703
53.94498,,600398,995443
53.94554,,728675,567874
53.94609,,459278,588867
53.94631,,595747,902705
53.94654,,713468,662289
53.94694,,655888,784550
53.94729,,561553,676677
53.94892,,755639,536914
53.94927,,706546,549240
53.94958,,495385,1117650
53.94975,,462494,1175514
53.94993,,603937,401000
53.95026,,461304,1237016
53.95075,,736663,512194
53.95094,,667934,652142
53.95149,,634394,811627
53.95175,,598092,775470
53.95184,,457390,588528
53.95201,,445296,1361706
53.95275,,658311,547922
53.95357,,877983,488785
53.95405,,658092,792170
53.95469,,538079,578337
53.95499,,477543,532761
53.95512,,518437,551354
53.95556,,535781,1122742
53.95574,,572300,723441
53.95607,,687549,621238
53.95632,,455211,1694140
53.95667,,607454,653567
53.95785,,456106,683235
53.95797,,599326,776901
53.95835,,702772,731895
53.95851,,696278,826393
53.95921,,418878,1381403
53.95945,,639220,711155
53.96034,,585497,872749
53.96095,,453289,829150
53.96105,,580007,589707
53.96146,,462475,1323868
53.96168,,441785,1538006
53.96276,,461718,1448837
53.96304,,640501,855438
53.96338,,572206,612442
53.96367,,511566,884151
53.96477,,443883,1238532
53.96513,,426372,1482237
53.96578,,458190,1219692
53.96618,,497035,893992
53.96634,,427471,1291274
53.96646,,645680,663983
53.96721,,566614,971717
53.96787,,684877,554784
53.96802,,438302,1931083
53.96825,,639755,779231
53.96866,,566245,1009952
53.96891,,594757,485895
